Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3
98,100,100,0.3,3,close,5,2,2,2,2,2,10
99,100,200,0.3,3,close,5,2,2,2,2,2,10
100,100,300,0.3,3,close,5,2,2,2,2,2,10
101,100,50,0.5,3,close,5,2,2,2,2,2,10
102,100,100,0.5,3,close,5,2,2,2,2,2,10
103,100,200,0.5,3,close,5,2,2,2,2,2,10
104,100,300,0.5,3,close,5,2,2,2,2,2,10
105,100,50,0.7,3,close,5,2,2,2,2,2,10
106,100,100,0.7,3,close,5,2,2,2,2,2,10
107,100,200,0.7,3,close,5,2,2,2,2,2,10
108,100,300,0.7,3,close,5,2,2,2,2,2,10
109,100,50,0.3,1,wide,5,2,2,2,2,2,10
110,100,100,0.3,1,wide,5,2,2,2,2,2,10
111,100,200,0.3,1,wide,5,2,2,2,2,2,10
112,100,300,0.3,1,wide,5,2,2,2,2,2,10
113,100,50,0.5,1,wide,5,2,2,2,2,2,10
114,100,100,0.5,1,wide,5,2,2,2,2,2,10
115,100,200,0.5,1,wide,5,2,2,2,2,2,10
116,100,300,0.5,1,wide,5,2,2,2,2,2,10
117,100,50,0.7,1,wide,5,2,2,2,2,2,10
118,100,100,0.7,1,wide,5,2,2,2,2,2,10
119,100,200,0.7,1,wide,5,2,2,2,2,2,10
120,100,300,0.7,1,wide,5,2,2,2,2,2,10
121,100,50,0.3,2,wide,5,2,2,2,2,2,10
122,100,100,0.3,2,wide,5,2,2,2,2,2,10
123,100,200,0.3,2,wide,5,2,2,2,2,2,10
124,100,300,0.3,2,wide,5,2,2,2,2,2,10
125,100,50,0.5,2,wide,5,2,2,2,2,2,10
126,100,100,0.5,2,wide,5,2,2,2,2,2,10
127,100,200,0.5,2,wide,5,2,2,2,2,2,10
128,100,300,0.5,2,wide,5,2,2,2,2,2,10
129,100,50,0.7,2,wide,5,2,2,2,2,2,10
130,100,100,0.7,2,wide,5,2,2,2,2,2,10
131,100,200,0.7,2,wide,5,2,2,2,2,2,10
132,100,300,0.7,2,wide,5,2,2,2,2,2,10
133,100,50,0.3,3,wide,5,2,2,2,2,2,10
134,100,100,0.3,3,wide,5,2,2,2,2,2,10
135,100,200,0.3,3,wide,5,2,2,2,2,2,10
136,100,300,0.3,3,wide,5,2,2,2,2,2,10
137,100,50,0.5,3,wide,5,2,2,2,2,2,10
138,100,100,0.5,3,wide,5,2,2,2,2,2,10
139,100,200,0.5,3,wide,5,2,2,2,2,2,10
140,100,300,0.5,3,wide,5,2,2,2,2,2,10
141,100,50,0.7,3,wide,5,2,2,2,2,2,10
142,100,100,0.7,3,wide,5,2,2,2,2,2,10
143,100,200,0.7,3,wide,5,2,2,2,2,2,10
144,100,300,0.7,3,wide,5,2,2,2,2,2,10
