Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3
1,200,50,0.3,1,close,5,5,5,5,5,5,20
2,100,50,0.3,1,close,5,5,5,5,5,5,20
3,100,100,0.3,1,close,5,5,5,5,5,5,20
4,100,200,0.3,1,close,5,5,5,5,5,5,20
5,100,300,0.3,1,close,5,5,5,5,5,5,20
