"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,5,"5",1.08638244460929,1.14004486757484,1.09275870835114,1.1579636191825,1.14499961687549,3.28629005937203,3.12410438541324,3.24999365412331,4.7602269454629,3.10560415289984,333.493415735384
"2",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,6,"5",1.08638244460929,1.14004486757484,1.09275870835114,1.1579636191825,1.14499961687549,3.28629005937203,3.12410438541324,3.24999365412331,4.7602269454629,3.10560415289984,333.493415735384
"3",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,7,"5",1.0168267841524,1.12623173740581,1.09002499324392,1.08930150241884,1.12443497965465,2.60936642072986,2.53904452113267,3.46443335294172,4.02540062302745,2.98369430845212,219.783809311587
"4",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,8,"5",0.908426077180211,1.00620283953218,1.00709460876032,1.04482573635149,1.04990696737364,2.98933199737476,2.2727090007608,3.02342919997571,3.69565990385499,2.98684180751399,150.865955636411
"5",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,9,"5",0.875343619282645,0.954614609392197,0.96168354357798,0.951355672703853,0.936532945735042,2.83568242491942,2.45037482133661,2.74816663813002,2.94534948712696,2.3154031891948,96.3768717948978
"6",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,10,"5",0.860101881998207,0.881757638633623,0.923057649211968,0.89624164991082,0.818246495451018,2.96791072369458,2.32647962152626,3.05272768823816,2.65676635756233,2.60459239827288,75.3890141941201
"7",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,11,"5",0.82515662582404,0.783063178092144,0.829596697118023,0.797468834508065,0.74879956667383,3.05866715715938,1.88624701910751,2.77381823847681,2.44010032775011,2.50487658269649,58.9815773202185
"8",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,12,"5",0.759734602457761,0.728605029290131,0.702442449104626,0.725204863743586,0.704940038037089,2.98364522006694,2.08390226597604,2.51897335312657,2.29791226109315,2.33525961721997,46.8046535349796
"9",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,13,"5",0.708329165484737,0.648651122933779,0.659031780657763,0.644223534532277,0.678769363686274,2.7160477567924,2.00000816430818,2.18757825854974,2.00938103648053,2.41024024892785,38.7752349972428
"10",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,14,"5",0.619511944353748,0.55745660836414,0.61938133583839,0.56085139949167,0.658346781024798,2.36054160134372,1.65413003093804,1.94231870202619,2.01451457186868,2.44200328756632,32.9434585400673
"11",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,15,"5",0.564938629369648,0.498744322153185,0.563129048910575,0.516340965410748,0.605471328450735,2.19620405775351,1.55030202958218,1.68279169392382,1.85731972605892,2.10877255254024,27.4295135171184
"12",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,16,"5",0.52813182194786,0.450014980069806,0.492122556449316,0.491630742657389,0.549298868457589,1.90919257227559,1.44853902034867,1.37555123075197,1.92227295972649,2.06280792062538,22.6768379994052
"13",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,17,"5",0.479834225202518,0.415366451122064,0.421595185114493,0.440836531384783,0.479937954017389,1.67428802023044,1.30366799448144,1.12590990604581,1.61356248249825,1.77188526469787,18.8292890942512
"14",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,18,"5",0.452070239745015,0.385867606212324,0.379802935275112,0.387788347267883,0.41644194262445,1.55227108745685,1.19277309516102,1.12262194710016,1.24794775388982,1.38455476994631,15.9575957986703
"15",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,19,"5",0.403786655142639,0.350344181885928,0.316526248096695,0.371564064713194,0.385590233842182,1.27035109725811,1.04538295859851,0.833948440938311,1.184783917411,1.20392292895405,13.0965903593979
"16",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,20,"5",0.356325763332047,0.301853853075416,0.295983139892898,0.314134235087816,0.33339734399825,1.01310348823987,0.792874470232499,0.775481994015249,0.872576944663099,0.811041889866603,10.3692229911212
"17",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,21,"5",0.298268630117786,0.272976707699767,0.272092288672326,0.263067118042805,0.295984648319686,0.807713244557833,0.63984533868806,0.700419838668589,0.684919328185827,0.708997850608178,8.34595879535649
"18",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,22,"5",0.277154249419789,0.256167516934678,0.213645789773301,0.222631385875637,0.251327743037059,0.811047723699133,0.611669868688823,0.510071180650014,0.532572542293045,0.631533186699396,6.33055525476818
"19",84,100,300,0.7,1,"close",5,2,2,2,2,2,10,23,"5",0.276900063619101,0.256556902942098,0.210653423913468,0.221159059487648,0.248745300460595,0.813304496487362,0.618241475295872,0.501943859773398,0.516259158103569,0.621640551294101,6.24839994195967
