"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,5,"Method4",3.5400187353077,2.80225544575558,3.22635782128159,2.94084916460074,3.10205733979917,10.3767638393253,9.36549853980474,8.52130387967592,7.16023651531592,9.63522973036167,681.486319318467
"2",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,6,"Method4",3.5400187353077,2.80225544575558,3.22635782128159,2.94084916460074,3.10205733979917,10.3767638393253,9.36549853980474,8.52130387967592,7.16023651531592,9.63522973036167,681.486319318467
"3",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,7,"Method4",3.36708570564508,2.64524643234052,3.12907141237563,2.79701069344262,2.86573399588325,10.3299585984748,8.92529760602799,7.88309405833868,6.87287787738426,7.65705241548928,589.466348329774
"4",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,8,"Method4",3.17312304882721,2.52980216560254,2.92498279596749,2.75718347772645,2.79892116708142,8.46150187476829,6.94919681849136,7.22495829636672,6.63066785401504,6.76198754427003,508.97474840769
"5",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,9,"Method4",3.00137552665842,2.46497510890962,2.61087443694189,2.63300565502039,2.5972151696055,8.17910032721137,6.0086683915187,5.65489516063359,6.22746386514957,6.50064392820059,442.089134993874
"6",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,10,"Method4",2.90354344341324,2.37000469056371,2.7011355851302,2.44033967882342,2.39648897271003,7.36435625860142,5.34441461884404,5.6399846391621,5.28937949118977,5.9877698603506,381.911620124691
"7",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,11,"Method4",2.73070582477049,2.18295101129321,2.49661204195272,2.40148796873965,2.30017241002383,5.98649818240364,4.63128786978313,5.16079090316946,4.82349246192865,5.69597934931457,336.151986339026
"8",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,12,"Method4",2.469507697978,2.1219905161358,2.45960466204385,2.29046560120948,2.23008934595374,5.29555248015144,4.20179448556066,5.12823563528537,3.86700689954285,5.11897390437493,295.305570864891
"9",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,13,"Method4",2.39576239201359,2.12367307746325,2.55301448068888,2.28094783287182,2.19156882062774,4.85896788022563,4.50604495090674,5.44552020044793,3.85723587700402,4.75933680243421,264.139879784321
"10",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,14,"Method4",2.21753586311926,2.09100980700477,2.39569475596722,2.23488302876033,2.17854340785639,4.08472999763165,4.0912057169093,5.0950517319424,3.64578941650861,4.11462162159781,235.757860994426
"11",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,15,"Method4",2.07555844877611,2.01465606747232,2.3105968016896,2.14928548874187,2.12238309082208,3.54127342711343,3.65266394540056,4.93043153551289,3.35032336663971,3.57569809186668,211.388143886685
"12",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,16,"Method4",2.02776272972916,2.07818432986938,2.18384103313881,1.96672551319841,2.06164446432023,3.35486993951508,4.14777009151405,4.55779072313002,3.08823827915919,3.35130267546454,192.184447013928
"13",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,17,"Method4",1.94496514038247,2.03345058269789,2.10947830652033,1.78115115190346,1.97035899498018,3.20938139364831,4.14465068048218,4.34073475517335,2.91204248494098,3.05514487410611,176.358809602773
"14",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,18,"Method4",1.78948318436922,1.91695054475868,2.01938584457991,1.64835441682866,1.96642654775145,2.81944564894379,3.81797204525625,3.92721802242257,2.58046494597614,2.78477985769796,161.563008848768
"15",28,100,300,0.3,3,"close",5,4,4,4,4,4,20,19,"Method4",1.74531826586257,1.84832036380598,2.01699997393385,1.65962768791744,1.90427242202684,2.5755502737987,3.34904331719273,3.55370948732357,2.2983757911459,2.50240975493879,148.009981045674
