"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,5,"Method4",3.21608438893774,2.87461312885336,2.93760737798055,2.73581157377987,3.05828597105695,3.59110656061436,3.6749056564105,3.41466436922536,4.04943994748953,3.80025438868051,324.082501551682
"2",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,6,"Method4",3.21608438893774,2.87461312885336,2.93760737798055,2.73581157377987,3.05828597105695,3.59110656061436,3.6749056564105,3.41466436922536,4.04943994748953,3.80025438868051,324.082501551682
"3",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,7,"Method4",3.03393045435458,2.79515170856879,2.91133914214731,2.73148038559104,3.1201812345895,2.26069349799696,2.75729715406747,2.65151690605526,2.97132069628339,3.49001022547228,193.173455416706
"4",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,8,"Method4",2.8103943375247,2.65967667706113,2.74841021316301,2.6655315036172,2.65946853183298,2.30648878324531,2.41253194303129,2.5350095765057,2.71243816775149,2.4518179508198,125.888221197471
"5",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,9,"Method4",2.59995939385125,2.37693769484318,2.64442136015932,2.49160338423801,2.48344519613965,1.94238885602154,2.0899512426915,2.13176383379263,1.76752422429907,2.36542333213642,87.1539080441626
"6",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,10,"Method4",2.51778691037105,2.26110717375212,2.43293398007578,2.30804279780841,2.33383835124555,1.78200176562927,2.00799089902994,2.39098417015102,1.62941964668605,2.23700754191046,64.9706141472339
"7",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,11,"Method4",2.3516360425544,2.07422763163153,2.14380861320992,2.14874767552122,2.06265896736604,1.54452419557458,2.1098878190434,2.4759452876824,1.7709383816816,2.39398945078245,51.6650299040449
"8",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,12,"Method4",2.10724837525971,1.98135527535701,1.93931626307351,1.97135580128873,1.86054336516148,1.82121172634523,1.91587842192775,2.29245083451563,2.03760142809864,2.20011761838293,43.1872411976854
"9",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,13,"Method4",2.01086751740084,1.74363865071269,1.79984211729595,1.77451704712894,1.70085480574261,2.15904711215346,1.6503392584756,2.01682752277089,1.8561768284803,2.22259512010272,37.9143575102588
"10",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,14,"Method4",1.92385758075345,1.64813708054152,1.69267350829,1.68430961639098,1.51464154544025,2.10469852202436,1.79432757024597,2.04477586224902,2.1069998152107,2.24098307091501,31.6013356719678
"11",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,15,"Method4",1.75784690005934,1.49579623377502,1.56221167110665,1.51731601485561,1.35572229764484,1.89709826635914,1.76272272024542,1.98689860465561,1.80078927857284,1.87657555125575,26.8008170143068
"12",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,16,"Method4",1.59746767663175,1.35613694431923,1.30330233101557,1.34907515574348,1.3313034643314,1.83558435268056,1.53182541016837,1.70379348270626,1.59164179420107,1.86654131993249,23.0629877869949
"13",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,17,"Method4",1.41455289587952,1.25310732130666,1.20731253058964,1.18120814773961,1.20091865162672,1.55151384184126,1.35386088623324,1.5607324985335,1.43739866098224,1.58605983457254,19.2810671712168
"14",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,18,"Method4",1.26276150135825,1.08791579764158,1.04626735452914,1.12371920548845,1.14130533717207,1.37291206283974,1.24486018747975,1.18561266815153,1.34021437264645,1.4426294386274,15.9931187120819
"15",108,100,300,0.7,3,"close",5,2,2,2,2,2,10,19,"Method4",1.06576796818956,0.994860006432797,0.900140931215369,0.958554086550249,0.931985301146863,1.22529024769909,1.11508468296995,0.923842837730254,1.13029302184945,1.02220139795261,13.0315929487114
