Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,88,0.0033749230141802756,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,78,0.015477983667424536,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,76,0.01318523923803091,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,92,1.556912533077433e-9,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,66,0.029391372260977485,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,101,1.3942877155284317e-14,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,255,5.523859724622305e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,113,1.2868834512511345e-14,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,19,62,0.05151244429388444,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,254,5.5238597246223045e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,255,5.523859724622305e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,55,0.040501639441524254,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,254,5.5238597246223045e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,255,5.5238597246223045e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,254,5.523859724622305e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,153,3.86670858146577e-15,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,105,7.506358190665035e-14,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,92,2.6476335785424004e-14,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,55,0.03450215590373633,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,255,5.523859724622305e-17,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,19,40,0.18574755961717593,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,171,2.3903546058162658e-15,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,65,0.027127306760985605,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,241,3.78232705722137e-16,Lasso
24,100,300,0.7,2,close,5,4,4,4,4,4,20,5,20,20,54,0.040501639441524254,Lasso
