Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,15,0.03738173188026989,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,6,0.0769091625617282,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,10,0.05581171178009765,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.08332805932591805,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,6,0.06551665447917689,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,18,0.03450215590373633,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,17,0.04388193684298046,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,15,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.04388193684298046,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.04388193684298046,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,16,0.03450215590373633,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,7,0.08332805932591805,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,8,0.06551665447917689,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,8,0.06551665447917689,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,20,0.015477983667424536,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,15,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,8,0.08332805932591805,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,10,0.0769091625617282,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.04388193684298046,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,8,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,12,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,9,0.07098472391887985,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,21,0.03184439837668466,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.04388193684298046,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,5,0.07098472391887985,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.03738173188026989,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,15,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,17,0.029391372260977485,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,13,0.06046979937611887,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,16,0.05151244429388444,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,9,0.07098472391887985,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,15,0.05581171178009765,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.06046979937611887,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,10,0.07098472391887985,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,10,0.06551665447917689,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,14,0.03450215590373633,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,9,0.08332805932591805,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,5,0.05581171178009765,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,16,0.06046979937611887,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,22,0.012169558683788826,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,10,0.07098472391887985,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,22,0.03450215590373633,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,17,0.03738173188026989,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,18,0.03738173188026989,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,6,0.05581171178009765,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,20,0.03738173188026989,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,11,0.06046979937611888,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,12,0.04754435641726351,Lasso
89,100,50,0.5,2,close,5,2,2,2,2,2,10,5,10,10,18,0.04754435641726351,Lasso
