Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,39,0.06046979937611886,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,7,26,0.097817742856318,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,65,0.02132883446929541,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,42,0.04388193684298046,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,30,0.09028268205951054,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,2,9,66,0.025037645931273767,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,10,31,0.05151244429388445,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,6,51,0.02939137226097748,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,9,40,0.05151244429388445,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,9,54,0.040501639441524254,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,9,31,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,36,0.05581171178009765,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,6,27,0.09781774285631802,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,9,36,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,9,67,0.019685839448573526,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,45,0.040501639441524254,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,38,0.05581171178009765,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,2,10,29,0.097817742856318,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,39,0.05581171178009765,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,10,36,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,22,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,54,0.03184439837668466,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,8,30,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,42,0.05581171178009765,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,33,0.09028268205951054,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,23,0.09028268205951055,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,6,36,0.06551665447917689,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,6,30,0.08332805932591805,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,3,10,26,0.09028268205951052,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,10,167,1.921344053984671e-14,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,57,0.03184439837668466,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,29,0.08332805932591805,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,38,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,6,43,0.040501639441524254,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,8,39,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,2,9,30,0.0769091625617282,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,26,0.10598168551525448,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,31,0.06551665447917689,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,40,0.03738173188026989,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,36,0.06046979937611887,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,67,0.019685839448573526,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,9,21,0.10598168551525447,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,6,9,32,0.06551665447917689,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,9,36,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,7,30,0.07098472391887985,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,48,0.03450215590373633,Lasso
144,100,300,0.7,3,wide,5,2,2,2,2,2,10,5,4,8,28,0.10598168551525448,Lasso
