Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,32,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,20,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,41,0.03738173188026989,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.05581171178009765,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,21,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,14,0.09028268205951054,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.040501639441524254,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,27,0.040501639441524254,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,40,0.03738173188026989,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,40,0.02132883446929541,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,42,0.019685839448573526,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,27,0.06046979937611886,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,18,0.09028268205951054,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.0769091625617282,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,17,0.097817742856318,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,13,0.12441054484015626,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,20,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.04388193684298046,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,33,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,35,0.040501639441524254,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,22,0.097817742856318,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,35,0.04388193684298046,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,21,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,24,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,47,0.025037645931273767,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,24,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,35,0.03450215590373633,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,33,0.05581171178009765,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,28,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,40,0.029391372260977485,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,50,0.01816940702282152,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,36,0.040501639441524254,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,32,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.05581171178009765,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,21,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,30,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,27,0.04388193684298046,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,30,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,25,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,24,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,38,0.040501639441524254,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,24,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,17,0.08332805932591805,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,17,0.10598168551525448,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,35,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,20,0.08332805932591805,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,23,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,36,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,28,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,36,0.03450215590373633,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,20,0.06046979937611888,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,75,3.3477082648191114e-7,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,37,0.05581171178009765,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,26,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,30,0.05581171178009765,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,23,0.04754435641726351,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,51,0.019685839448573526,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,28,0.06046979937611886,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,18,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,35,0.04388193684298046,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,23,0.06046979937611886,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,19,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,34,0.03184439837668466,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,18,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,36,0.03738173188026989,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,27,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,22,0.06551665447917689,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,29,0.05151244429388444,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,31,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,16,0.0769091625617282,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,21,0.07098472391887985,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,22,0.06046979937611887,Lasso
98,100,100,0.3,3,close,5,2,2,2,2,2,10,5,10,10,24,0.06046979937611887,Lasso
