Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,cv.lambda,VselecMethod
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,18,18,2,0.027127306760985605,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,17,2,0.03738173188026989,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,15,0,0.03738173188026989,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,18,16,3,0.025037645931273764,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,16,3,0.03184439837668466,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,19,3,0.040501639441524254,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,17,3,0.06046979937611887,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,18,18,5,0.023108955094702267,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,18,4,0.029391372260977485,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,20,14,5,0.040501639441524254,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,15,3,0.023108955094702264,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,15,18,2,0.05581171178009765,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,18,17,3,0.027127306760985605,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,20,19,3,0.03450215590373633,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,17,4,0.04754435641726351,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,19,2,0.03184439837668466,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,20,18,4,0.019685839448573522,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,16,3,0.05151244429388444,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,19,3,0.016769787868247475,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,17,2,0.04388193684298046,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,18,2,0.040501639441524254,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,12,3,0.05151244429388444,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,16,2,0.05581171178009765,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,18,15,3,0.03450215590373633,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,17,4,0.05151244429388444,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,17,2,0.04754435641726352,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,16,2,0.04754435641726351,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,19,16,4,0.029391372260977485,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,17,17,1,0.04388193684298046,Lasso
53,100,50,0.5,2,wide,5,4,4,4,4,4,20,5,16,20,5,0.019685839448573526,Lasso
