"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,5,"2",2.39392134721384,2.26370824282697,2.36862286537414,2.3517526696547,2.47915102865676,10.3756059301665,10.8789979447129,8.48033936548654,14.3743108628926,12.4606851546456,861.10242374435
"2",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,6,"2",2.39392134721384,2.26370824282697,2.36862286537414,2.3517526696547,2.47915102865676,10.3756059301665,10.8789979447129,8.48033936548654,14.3743108628926,12.4606851546456,861.10242374435
"3",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,7,"2",2.29068359622865,2.13271146256535,2.15275232839188,2.16738266644308,2.19902671749701,4.5245767703429,4.50415942792289,2.80912397357724,4.41849757896237,4.21389082207222,285.098834589553
"4",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,8,"2",2.20826819896084,2.15636178677601,2.21506881548194,2.19613054542945,2.12476059457999,2.79836555376639,2.41291747027744,2.21029437583543,2.52095208283102,2.8403114256975,185.4583216401
"5",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,9,"2",2.18868590970598,2.13974582475632,2.22966587189884,2.184118892338,2.15456681612393,2.00131441690411,1.80144914346748,1.71514447487887,1.77666862159216,2.07229380682995,143.941667561308
"6",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,10,"2",2.22022940270753,2.09722999390362,2.24580698073393,2.17550644939304,2.20522143765378,1.75070552040159,1.74340342183888,1.56550207609401,1.78625396008293,1.84733882598313,121.927557785251
"7",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,11,"2",2.1891524863608,2.09284977673747,2.22695005054781,2.15617763009443,2.21974002991741,1.6435927350979,1.7803745270453,1.37194365598652,1.45147961987881,1.48199210203624,107.222231994744
"8",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,12,"2",2.1616754327868,2.11299739956402,2.22261649095508,2.14523880869394,2.22869229583765,1.49925893562662,1.52712348614742,1.22480763898635,1.20190952162828,1.38902957376206,97.6519014681421
"9",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,13,"2",2.18287132175973,2.1308612466205,2.20939518657874,2.1610598091541,2.24879956357396,1.42736040002706,1.39771331803193,1.16890898895664,1.16089252326055,1.23971747477253,89.7607513152764
"10",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,14,"2",2.19133155697175,2.1557903625927,2.20393277091816,2.16454666326547,2.2394585454965,1.23310213792275,1.35078147233276,1.18952908877736,1.06982723387986,1.22468385818459,83.8906550839401
"11",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,15,"2",2.18710973338277,2.16282562563015,2.23134232372413,2.16190227552354,2.25562891848721,1.11482705725542,1.38361334851995,1.20364228019231,1.01225138434339,1.20854265081636,78.4028766554545
"12",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,16,"2",2.19103755582665,2.1540921366112,2.22043825420962,2.17842895609408,2.24826632054691,1.05873805324032,1.382929742485,1.2461271858452,1.04242193708411,1.15615048545737,73.9449576435469
"13",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,17,"2",2.20058934461893,2.15565609970924,2.20724343856082,2.18925273697858,2.25617449498952,1.06056729318684,1.36829369137881,1.21011518611006,1.0156038888037,1.09088393993781,70.3098807381016
"14",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,18,"2",2.20115583785115,2.161054996788,2.2081786415752,2.19222879103419,2.26141386002537,1.10096737431881,1.28963217500282,1.16601134513407,1.03064947833281,1.13717935575984,67.0871418920122
"15",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,19,"2",2.20384594697904,2.15413301502247,2.20778022333728,2.1819211340716,2.26903935410821,1.11603070455737,1.1487727779458,1.18842117781174,1.03491099346197,1.03296503543435,64.3362535139202
"16",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,20,"2",2.19805191503934,2.14777654380974,2.20063665206085,2.20194397967545,2.2579820161005,1.109451288775,1.10861543072389,1.19331616131347,1.11461485441096,1.053403123673,61.7367974882619
"17",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,21,"2",2.1996174265959,2.14722473157123,2.20596101944185,2.21262798772142,2.2565917486824,1.10854339056538,1.13872980913082,1.17687669905268,1.14356988183638,1.01965759144896,59.7022909878791
"18",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,22,"2",2.20345463773866,2.13350436363649,2.1925371904923,2.21652197427591,2.25582707214078,1.11142297622429,1.0855482744333,1.21050715546895,1.06078047136446,1.01036872606939,58.0756536938996
"19",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,23,"2",2.2017527495867,2.14617283195409,2.19482396781172,2.22570498874757,2.25990332142816,1.10503586495543,1.13252387134194,1.20963668366488,1.149431924571,1.00078488526907,56.1045978765907
"20",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,24,"2",2.21955226236147,2.1503387554746,2.20062084655578,2.225947591078,2.26409339294209,1.13177043858115,1.19939476687611,1.20352475203042,1.17606735770615,0.990666329225269,54.6740873274178
"21",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,25,"2",2.21658810676919,2.16918053193447,2.20095252318357,2.22991198584753,2.26665418016699,1.14376409074871,1.23232963901651,1.17456479346376,1.25380963517487,0.934469772462461,53.1352165486992
"22",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,26,"2",2.22450353755201,2.17066001269121,2.19510637314638,2.24430492035371,2.26991232611232,1.15975367532375,1.25747568339565,1.15544801928233,1.23127330369949,0.944150889569586,51.8041365439823
"23",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,27,"2",1.96549221781913,1.97432922705117,1.94815768950805,1.98779506827465,2.02197795696216,2.30189875152367,2.87045721647328,2.14983733078415,2.50358231497728,2.08050213483545,45.6590904194465
"24",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,28,"2",1.79019412471295,1.75581954494859,1.76871768308828,1.79643369446642,1.67566252149199,3.27572316149057,3.5854714983348,2.53676303217391,3.34058028085647,3.19973464877537,39.650549346046
"25",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,29,"2",1.64802848762578,1.5265966324355,1.56579964621751,1.61652864060672,1.493466909264,3.54764648792483,3.78829699486264,3.06178896184636,3.96948451588356,3.62019375388708,34.7805276450144
"26",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,30,"2",1.47252172957004,1.37669979507727,1.45494197100897,1.37736720632371,1.28182112329393,3.62412955467414,3.96699605932795,2.71751298256718,3.74069398681983,3.83985359719274,30.2900592323447
"27",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,31,"2",1.30464058394766,1.16618222370413,1.25233319769579,1.21300474681057,1.12343559867989,3.52162142157679,3.73873798004128,2.80899577622198,3.47887384203311,3.22557839908316,26.2723872825963
"28",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,32,"2",1.11605334189453,1.04814283608053,1.11857134109523,1.03567556302527,1.00744401773977,3.06699347127535,3.15008990152205,2.68801566872533,2.99218395131456,3.29984934893269,22.5989340834311
"29",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,33,"2",0.982137827798521,0.910341929137342,0.955096677058094,0.917651841745727,0.895824107668719,2.77788799749043,2.54344608589106,2.56011900323974,2.536893216623,3.02308845348816,19.0808231039283
"30",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,34,"2",0.81002868313678,0.814410315446558,0.824619543630214,0.809877464190378,0.765021471121566,2.19985096206938,2.34527594724668,2.52240778876134,1.95678630287541,2.46152976803933,16.3916052281218
"31",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,35,"2",0.725069853761211,0.70465678466321,0.728202585571323,0.723103143489009,0.703316486286127,1.87829938725244,1.88922764640158,2.06426105571043,1.81358020485606,2.15304883035877,14.1842254309374
"32",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,36,"2",0.624744150355111,0.611589481589758,0.704745700084227,0.628032635246589,0.602148122217817,1.46932912338429,1.48603132328064,2.02799853754425,1.65414704701656,1.77306947630493,11.9527748345847
"33",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,37,"2",0.532501016057864,0.536486304857467,0.622912840010077,0.580096083024939,0.579303639659454,1.11878646818814,1.36540241094249,1.76064190512696,1.60071608954501,1.73456467112714,9.93179661069633
"34",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,38,"2",0.456879931121108,0.502797603064185,0.537430021317198,0.512711686938067,0.49991156354048,0.826385488872863,1.32403241634031,1.44526977730249,1.39624243111922,1.2867324389434,8.23625924094502
"35",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,39,"2",0.386328415329272,0.433416957657957,0.423358555887649,0.40215370250921,0.421109061156857,0.731119847021084,1.00498229669193,1.0482228725953,1.0447449222179,1.02974899660308,6.76170669094015
"36",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,40,"2",0.352489730655947,0.412414329996774,0.36949669670272,0.331660932274676,0.359139231837566,0.64362427671358,1.014528307409,0.866704873797664,0.850956568676834,0.886777992669053,5.6694005994581
"37",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,41,"2",0.293708271628513,0.353362058870993,0.312555365277487,0.291367115617024,0.319624984531678,0.466505944081977,0.912844162182086,0.607916253954831,0.630864964008082,0.753598123565311,4.50900439558295
"38",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,42,"2",0.285702052295923,0.262323677484513,0.258736089775128,0.247743632572512,0.257025319068458,0.443182239535099,0.487304614502956,0.450654384403684,0.571995095919057,0.521425705193988,3.46265714706729
"39",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,43,"2",0.214585179735842,0.218158765168933,0.221245724204364,0.219113448575362,0.210946900717569,0.285098013671955,0.367812342962914,0.324013859854828,0.419209872792698,0.343422083722086,2.6241147745893
"40",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,44,"2",0.187832864480311,0.169119149412477,0.170860785892824,0.166673567821652,0.16256584868385,0.276534179075647,0.216347352586805,0.224022416876871,0.225435001752623,0.217043518223168,1.81599486618433
"41",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,45,"2",0.129166298733155,0.12428172074177,0.124363238304894,0.116727728329821,0.132248321099389,0.148691396602641,0.137934815931879,0.120525858631902,0.12875647425097,0.136206664750755,1.16623520077951
"42",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,46,"2",0.0774593553397545,0.0799877190516322,0.0816140524547731,0.075157876470112,0.0802623977511488,0.0662978349375231,0.0637312835214487,0.0613799033801497,0.0627856396084161,0.0813489280742173,0.551450808286151
"43",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,47,"2",0.07905153248391,0.0786047230410085,0.0824921395357524,0.0738719451273863,0.0801307774880998,0.0690234563304379,0.0638145703907282,0.0636582230699865,0.0635889594941731,0.0844865937208875,0.543022543879166
"44",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,48,"2",0.0797047580198279,0.0794070139594996,0.0811142560058716,0.0746020921338801,0.0835636510419137,0.0695949936958311,0.0622923988285329,0.0632929653478046,0.0636909769606429,0.0901862001789512,0.529840197283319
"45",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,49,"2",0.0816505435902365,0.0815767885662496,0.0794323058757328,0.0770780681187417,0.0849121402213111,0.0701532480635996,0.0631964724000612,0.0619035209921217,0.0652453194876765,0.0899720844502503,0.520987013421253
"46",9,100,50,0.7,1,"close",5,4,4,4,4,4,20,50,"2",0.082323083741117,0.0807228939161866,0.0814937229546427,0.079075900584342,0.0852400282422979,0.072826801029936,0.0638884791380174,0.0637458986478813,0.0689865650069564,0.0908520057028313,0.510825874921067
