"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,5,"2",0.743287821943224,0.623028970489652,0.681924413733247,0.65870461366703,0.57757701898057,1.3100738987191,1.05563926890862,1.4614329377147,1.24878469577326,1.5854450710207,107.127030093966
"2",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,6,"2",0.743287821943224,0.623028970489652,0.681924413733247,0.65870461366703,0.57757701898057,1.3100738987191,1.05563926890862,1.4614329377147,1.24878469577326,1.5854450710207,107.127030093966
"3",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,7,"2",0.702049417699145,0.606995440799658,0.63897095990667,0.629178986026578,0.595412317449496,0.959859523483917,0.807657100371746,1.17275175695004,1.06575731821106,1.30615165048264,87.6562261026867
"4",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,8,"2",0.67361077942643,0.621989076854855,0.615013635997146,0.602632923884616,0.606859818645696,0.830581568489588,0.777504483897977,0.857048653304575,0.930716838538723,1.17082510563982,72.9295815655167
"5",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,9,"2",0.663141672540374,0.608988381953763,0.613969946053118,0.613411213860941,0.596223666404673,0.807897311292752,0.700805782721781,0.792363512806422,0.934685873810607,1.00661798327615,62.084789240143
"6",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,10,"2",0.655207379340685,0.588114378941566,0.579692388314106,0.623203179409702,0.593788546637276,0.761071740975276,0.727384964299933,0.705248339111985,0.857833113467734,0.81796436340516,54.3638459442888
"7",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,11,"2",0.656747823674718,0.571857335095711,0.580154375813726,0.617390328484548,0.586108037898766,0.713172272865423,0.631163346388773,0.659151819010382,0.783122727922511,0.747088718237915,48.5265390936822
"8",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,12,"2",0.643553978526256,0.572540623050535,0.577808867555216,0.614139168107654,0.582914792842102,0.592597913410905,0.554244513040884,0.639136795922354,0.657684397101383,0.711780472238468,43.0173979067936
"9",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,13,"2",0.6533991439485,0.573785991325036,0.584014929169782,0.608430275145049,0.58577760351276,0.556748882614554,0.509739953505583,0.637204841440061,0.641825989869092,0.669934128002439,39.1286145777796
"10",89,100,50,0.5,2,"close",5,2,2,2,2,2,10,14,"2",0.64646789017342,0.572763144353881,0.572357571397077,0.598392410495591,0.573891420673847,0.527178573680766,0.51111872235548,0.575583092638103,0.613790362395372,0.575192059972313,36.2879338472679
