"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,5,"Method1",3.0316112636733,2.90532032002827,2.90533442455861,2.77524323696102,2.8274177972523,3.42418162409621,3.75969680554686,4.12987984792677,2.85819845463549,3.71349302087099,314.179802485693
"2",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,6,"Method1",3.0316112636733,2.90532032002827,2.90533442455861,2.77524323696102,2.8274177972523,3.42418162409621,3.75969680554686,4.12987984792677,2.85819845463549,3.71349302087099,314.179802485693
"3",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,7,"Method1",2.8166019753891,2.59521392117071,2.76218256329664,2.61576106241242,2.80412766093591,4.95239304961544,4.61816660474126,5.74906343865857,3.47539430290367,6.19605866857169,306.206243006171
"4",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,8,"Method1",2.56100854950673,2.37827825038154,2.50917922753419,2.45471590033434,2.63207506761955,5.49341945874522,5.61602720624879,5.71012088340461,4.89642042905566,7.02947409717034,298.952021346603
"5",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,9,"Method1",2.4308480152493,2.23700657446386,2.32815317202181,2.41150723171325,2.47438627126702,5.77152564630716,6.30926650459203,5.90451458720992,5.80021674340627,7.58076785686888,292.332826999091
"6",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,10,"Method1",2.20724275496526,2.16114913040817,2.33713407372081,2.15201141234659,2.395995632057,5.94949467029933,6.67530179350753,6.96998939048202,5.75219520059116,7.87004880500908,285.862117749097
"7",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,11,"Method1",2.13558166856575,2.25980962588416,2.30051945707558,2.01748521137788,2.44422971870556,6.37212298784504,7.65778374485654,7.07472562203365,6.09010233107826,9.08466473819931,279.789058984354
"8",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,12,"Method1",1.94246477436964,2.28515442895468,2.34688702858892,1.94210076477502,2.26632591652661,5.90976983950684,7.91250835496016,7.72781684959323,5.80151103590411,8.25474873073351,274.60897292
"9",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,13,"Method1",1.92154144774424,2.26654270080033,2.23956340062033,2.02180278905225,2.26267290316736,5.82464590699519,8.10399912149251,7.72393671346925,6.47675342749811,8.32384004172195,269.109218312588
"10",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,14,"Method1",1.89436414172271,2.16792485600137,2.31581023343779,2.02884260981959,2.22775017448688,5.67664244845444,7.37718883686959,8.15037552827228,6.81501541944344,8.28493668306313,263.236047057698
"11",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,15,"Method1",1.81662975712749,2.21835008009997,2.32403120289144,1.97522310633883,2.33104455189594,5.3338134159623,7.65474474575101,8.01299690069445,6.88185227486615,8.96574199403294,258.477239134698
"12",83,100,200,0.7,1,"close",5,2,2,2,2,2,10,16,"Method1",1.8989773007479,2.32791335917244,2.32586370903003,2.02554595811484,2.42443750061467,5.96785494871058,8.05679348018699,7.9463540372838,6.89576568067874,9.47618628778445,254.948625264921
