number,n,p,corr,method,beta,s1,s21,s22,s23,s24,s25,s3,no_predictors,vadd_method,v1_bias,v2_bias,v3_bias,v4_bias,v5_bias,v1_variance,v2_variance,v3_variance,v4_variance,v5_variance,mse
1,100,50,0.3,1,close,5,4,4,4,4,4,20,5,4,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,6,4,1.30802558538763,1.17114383651351,1.1227666218897,1.22616488790294,1.29190457373578,6.14918602445938,6.23034585938114,4.15999482978817,6.86472318651325,6.0741221806892,461.69534405747
1,100,50,0.3,1,close,5,4,4,4,4,4,20,7,4,1.24881056877582,1.05529893147765,1.17985260580323,1.14797711927889,1.21973689324231,5.7717807524268,5.33503540958606,4.79299041376316,5.54160567043807,5.68837932059749,394.050814075703
1,100,50,0.3,1,close,5,4,4,4,4,4,20,8,4,1.19435789502235,0.96403837896372,1.10912123809391,1.0703414924897,1.15338052323139,5.18658131384917,4.52673997835383,3.81697026577972,5.15655025540501,5.08705093538151,339.511666032281
1,100,50,0.3,1,close,5,4,4,4,4,4,20,9,4,1.06091253340758,0.965845977805587,0.996863930423242,1.05221464663632,1.05048133796189,4.06428711012584,4.05201433925786,3.261448832632,4.70906422991876,4.32171703631767,291.506332699364
1,100,50,0.3,1,close,5,4,4,4,4,4,20,10,4,1.00935275339648,0.939595305950737,0.958958765355317,0.961686247983715,1.04897761290351,3.57448290706408,3.60093716757063,3.12231028341101,3.96002667329666,4.8144875371016,257.342531361336
1,100,50,0.3,1,close,5,4,4,4,4,4,20,11,4,1.01193427077517,0.898284543863952,0.913379860124914,0.90788756304025,0.992887212273386,3.22448325651206,3.2318315133155,3.07757928197658,3.62940928294532,3.7955701233763,222.92965318725
1,100,50,0.3,1,close,5,4,4,4,4,4,20,12,4,0.958876249268011,0.878484491977923,0.857011080643763,0.851955269113634,0.931064075106419,3.03534371025976,3.45094826091531,2.85451616946199,3.26647068955606,3.51263447592686,200.312705557985
1,100,50,0.3,1,close,5,4,4,4,4,4,20,13,4,0.938407466435321,0.86807975916194,0.834265009089888,0.817893583964511,0.939462960952077,3.01927859663283,3.21038542877083,2.81032221873563,3.34337231805793,3.29581079294293,180.049898820826
1,100,50,0.3,1,close,5,4,4,4,4,4,20,14,4,0.934056448536945,0.801125794094296,0.765736884085887,0.805494346888956,0.905366971583653,3.28285148153355,2.88236635194241,2.64861287257651,3.40573499624105,3.0180948236922,163.074306035753
1,100,50,0.3,1,close,5,4,4,4,4,4,20,15,4,0.890051729089393,0.791610414467436,0.725420485318219,0.81389400867185,0.854332155068026,3.15119026652936,2.90679837751468,2.45960853633931,3.36162808167156,2.79374145233222,149.613011579481
1,100,50,0.3,1,close,5,4,4,4,4,4,20,16,4,0.875140903097096,0.744481740365628,0.707274531890054,0.781729737942524,0.813764132680782,3.14671969146556,2.72849001332935,2.26278122147469,2.91940911747782,2.47665773726605,136.234795904631
1,100,50,0.3,1,close,5,4,4,4,4,4,20,17,4,0.819632994041954,0.735468916675991,0.725174361563672,0.740320845238483,0.768334847421188,2.70038523448457,2.87816412968913,2.34526074934963,2.73802076040427,2.3877991152051,124.269653336696
1,100,50,0.3,1,close,5,4,4,4,4,4,20,18,4,0.742692647612697,0.698902304373465,0.710795120599068,0.73283887456371,0.68729116486455,2.44070068133754,2.56312299324282,2.22150548914054,2.5339278297077,2.25605830185633,112.526416127775
1,100,50,0.3,1,close,5,4,4,4,4,4,20,19,4,0.69251725348798,0.663455734242415,0.684242048356428,0.701443604193345,0.682263923571461,2.15001100163717,2.27387679877061,1.95505510573288,2.41563426527647,2.37700038401272,103.182492294564
1,100,50,0.3,1,close,5,4,4,4,4,4,20,20,4,0.678273032212069,0.63658729049277,0.660299298881369,0.690916295725763,0.659722286018279,2.13483605958754,2.06285858839997,1.69174712028875,2.32744103426257,2.3830834704085,94.5651234011229
1,100,50,0.3,1,close,5,4,4,4,4,4,20,21,4,0.625985285206197,0.604655361318756,0.608449332235859,0.649014433724726,0.640254955541425,1.93847883110395,1.97013651368532,1.57736264206083,2.06556374771364,2.24764405462679,85.5149854976884
1,100,50,0.3,1,close,5,4,4,4,4,4,20,22,4,0.594665580967822,0.568786740401117,0.573300079216889,0.62056069713922,0.626212423587337,1.89611853209866,1.82861309197928,1.33649757670788,1.92751020714535,2.19113042696836,78.5358783908693
1,100,50,0.3,1,close,5,4,4,4,4,4,20,23,4,0.576918983271538,0.548170963819795,0.541603901958219,0.597054872379362,0.594819887248362,1.83166058239136,1.76669537515767,1.18227587438933,1.76649310646823,2.08012510788991,71.8053689847569
1,100,50,0.3,1,close,5,4,4,4,4,4,20,24,4,0.551885614124679,0.520963917561324,0.504728606099242,0.576887698801146,0.576249622732269,1.84035043283887,1.60298530839958,1.02603431898787,1.59341363095672,1.99861534440584,66.2701935318409
1,100,50,0.3,1,close,5,4,4,4,4,4,20,25,4,0.52038121473415,0.508330324199771,0.510096250641108,0.571996550361958,0.541912764504142,1.59280164741409,1.56352635673308,0.928049188216217,1.50093501201376,1.94265083687063,60.9237598484025
1,100,50,0.3,1,close,5,4,4,4,4,4,20,26,4,0.522257984785964,0.474036978135708,0.494904047766142,0.537733187373572,0.50421732135032,1.61467926745429,1.4060479240031,0.880768548381821,1.35869399248024,1.7826330261877401,55.7015320591194
