Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,13,12,20,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,11,13,24,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,16,14,32,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,14,15,24,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,15,13,28,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,14,18,35,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,19,55,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,18,43,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,16,37,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
42,100,100,0.5,1,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
