Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,11,17,25,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,16,14,24,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,19,55,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,15,12,20,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,15,15,29,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,12,14,15,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,13,14,38,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,13,14,30,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,18,13,38,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,10,11,7,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,15,14,37,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,12,12,27,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,17,19,37,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,9,12,17,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,15,15,40,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,12,14,14,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,19,20,55,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,19,55,AIC
58,100,100,0.7,2,wide,5,4,4,4,4,4,20,5,20,20,54,AIC
