Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
32,100,300,0.5,3,close,5,4,4,4,4,4,20,0.09955270111799965,4.99429394841738,7.756493115097391,6.029163812828911,6.704259042869658,5,1129.5789616760733,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,0.09955270111799965,4.99429394841738,7.756493115097391,6.029163812828911,6.704259042869658,6,1129.5789616760733,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,2.4820832079814283,4.167243235857087,10.542993501882492,4.386443613870914,8.279395198028567,7,661.1517115060191,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,2.0432801636073816,6.786865462113771,10.784810457435762,5.936028564390908,8.105070944599563,8,464.6275827547145,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,3.421204041730467,6.5714150810216,10.119022245276922,6.213449304647019,7.306110296025557,9,334.46983988495026,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,4.8557105633520345,5.772458659402232,9.536364435875539,6.211062463660772,6.705701709072361,10,290.8085344099059,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,5.1497947771625086,5.746107824648717,10.337875410849959,6.310227743102258,7.119895282705609,11,278.1662305978245,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,2.1812494984630915,5.526895252157668,10.370846936754297,5.426182301130103,7.284197483962239,12,253.21057559585842,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,1.5014396771367413,5.7917912398403475,10.367405615118807,2.522214779361022,7.4448273661574325,13,237.24630179831703,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,1.9321741126321126,5.270379193087291,10.306672508114248,1.9789103787563422,7.4781833167606715,14,207.15205434881196,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,1.232637794858394,4.792511755116749,11.598326163938156,2.877673695591113,7.756438985000678,15,171.3068164537703,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,1.986074843101452,5.311251674981174,10.356267748078158,3.564562428956092,7.885988527066699,16,158.11290144552802,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,1.6697874586315795,4.627703408681203,9.87269261554015,3.0962925636556697,7.6859471267595705,17,135.0575000360511,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
32,100,300,0.5,3,close,5,4,4,4,4,4,20,3.05692732350332,3.074373138486687,9.330933464569808,1.8800135228893975,7.624747822826432,18,119.93012199162375,2.548539337165312,2.6119409198031334,2.73131002782188,2.930737446386174,2.510583075348679,Method3
