Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.558040356767041,3.707698995271852,4.34432833162807,4.220236696379534,3.7520263959634006,5,8.541642089925755,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.558040356767041,3.707698995271852,4.34432833162807,4.220236696379534,3.7520263959634006,6,8.541642089925755,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.5546308082510207,3.705997400836805,4.33085080994706,4.202683238168159,3.7765496321375136,7,8.532361439727321,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.684348813066572,3.640922884223364,4.1399503762497165,3.95874455699146,3.708336871235032,8,6.611952065172744,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.780644784509775,3.6059517628107356,4.082027861331598,4.058303860425105,3.8236250488201917,9,4.9951525054578445,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.867014824484264,3.6348330478973763,4.031553745319688,4.184035184123003,3.843410018620567,10,4.880008575129113,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,4.052763820181401,3.5216843287202555,4.038927598991601,4.073649782167015,3.8070316586133934,11,4.094646722935386,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,4.154890953142009,3.710168777748206,3.674494058809791,4.046424573449595,3.6974971362512106,12,3.283983053363421,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,4.13537383933152,3.712800217816622,3.6740953539867616,4.134237138068839,3.730756149528204,13,3.0304737707470655,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,4.058010926169676,3.753486627598673,3.6717894646359315,4.310921830350414,3.8212432241868415,14,2.675541594462036,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.9900569855206247,3.7074730896314483,3.6786700188472916,4.3750843893803255,3.7477690777171513,15,2.3113491286612793,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.987769094229739,3.7060379159640893,3.678249772910892,4.379426508377619,3.7458675686264598,16,2.310607618345519,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.8824847814046053,3.7354422128686373,3.6793678758497053,4.402040722571194,3.7496145315057183,17,2.1699104545131336,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.8378654039387388,3.744507780741122,3.6718932288397244,4.393926572673852,3.7441181306878994,18,2.149849237541163,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.8344731064909126,3.7748251674787734,3.5892801326234176,4.4646490584417,3.675468096708216,19,2.0768715282789665,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.7971587368577904,3.786614477924384,3.569538568557263,4.402703374167168,3.6402949381469925,20,2.01982288125868,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.751052159084842,3.8198071064251873,3.6388124005579026,4.1938921985015325,3.655232918342649,21,1.7820754484613472,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
37,100,50,0.3,1,wide,5,4,4,4,4,4,20,3.757517408741087,3.739973639036556,3.6100942571070163,4.17955255155762,3.660796773766132,22,1.740100533514881,3.5925823643887465,3.64530049276275,3.744555364622504,3.910378358556679,3.56102190485768,Method3
