Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
25,100,50,0.3,3,close,5,4,4,4,4,4,20,1.0885532616990217,7.206419323683075,6.761226287211724,2.803471784701496,1.3375066506989217,5,351.07523938167145,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,1.0885532616990217,7.206419323683075,6.761226287211724,2.803471784701496,1.3375066506989217,6,351.07523938167145,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,1.0841443794143553,7.217723605901851,6.752115493771998,2.822623897821774,1.4194564807034225,7,351.0361982619683,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,0.0883146930859394,5.726003521846995,4.493535415149981,2.5351075727345003,1.197961513352381,8,255.83289561539263,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,1.0146013987227174,6.024035643043143,4.34560270463517,3.03204278163276,1.8204735997811736,9,201.6156945425879,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,1.2968925128505706,6.122673758243416,3.954336216449872,3.09608004770761,2.3316562348734107,10,157.20049456326598,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,2.859523586361224,5.495823593243185,3.8713943243227336,2.64309433723638,1.491426626383777,11,126.57303455312793,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,2.8059596081416585,5.999045350883953,1.9279226036435066,2.3387587830886503,2.114959438497882,12,115.2075385408823,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.0700471457136,5.765998362816477,1.998694816268246,2.8320287112582463,2.2610143750180938,13,111.82455413730719,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,2.9837380952605432,5.642842323424195,2.0194756934542326,2.9285336167640503,2.4075119894618724,14,111.1607242127805,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.472609947515537,5.563195616653128,1.7126397004466634,2.847564684050112,2.3461360989200544,15,108.4349925613178,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,4.0588047991823455,5.219369375459574,2.222017691401221,2.8720376066846294,1.60027939473447,16,93.06650436875236,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.4127247802407155,5.357667816024111,2.396507869280845,2.9774855224162735,1.8821328545163267,17,87.1807937290324,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.573725918336398,5.577836065027532,2.925396691921906,2.907526904250351,2.0487998604854263,18,80.49685484049652,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.587417318611339,5.609782029335259,2.2829369731838858,2.8855196971181662,2.0980462414400387,19,79.93620290266716,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.571777136986482,5.672804389866162,2.5406411095734573,2.824371814398623,2.1487949029581412,20,72.01897462527177,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,3.9814139622685345,5.2285677919526385,2.694267565626498,1.4874108132052424,1.961539364687271,21,54.78737147068011,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,4.265540307459555,4.460275262690627,2.809588096570552,1.6136950327977502,2.427765732250955,22,51.896344139869306,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,4.376983692007965,4.410707071373807,3.027057486724894,1.5954297707222194,2.46747862771463,23,50.95261030451904,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,4.369888652087102,4.412275464689397,3.0192304386489686,1.5848645689635512,2.4599336685672477,24,50.94646461326551,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
25,100,50,0.3,3,close,5,4,4,4,4,4,20,4.1618298659957675,3.7097183654229093,3.056587331515886,1.7163291892255566,2.7639126834976886,25,44.25716806111122,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method3
