"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,5,"3",0.60813263876319,0.612380061810725,0.611027558932679,0.672877689247866,0.635047759168968,1.57927963605552,1.37273165936539,1.45672125202782,2.2028374260966,1.38345005467848,160.212985914899
"2",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,6,"3",0.60813263876319,0.612380061810725,0.611027558932679,0.672877689247866,0.635047759168968,1.57927963605552,1.37273165936539,1.45672125202782,2.2028374260966,1.38345005467848,160.212985914899
"3",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,7,"3",0.627559739481542,0.602669022733907,0.596041515941825,0.635025823242806,0.601722453982609,1.87014012887248,1.4276851051086,1.65845571715801,1.8894126201572,1.35857112356396,139.243725589525
"4",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,8,"3",0.604519205383681,0.598049239405928,0.576936302539067,0.624694628072047,0.59470124276338,1.86157180508406,1.53950824026191,1.47444844358462,2.04070437109178,1.30838891630647,121.556072385265
"5",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,9,"3",0.573410794191171,0.565458681586135,0.558288797188619,0.571804038642168,0.554020612195444,1.78152012913223,1.48489547081469,1.61020945710117,1.86576776317183,1.45770079517528,108.537279527281
"6",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,10,"3",0.550847336156092,0.529259972534291,0.524961361505678,0.56175655374093,0.533963223447101,1.76619285294183,1.45744172519916,1.57739681710196,1.76690870720307,1.65061979994989,93.9842832920947
"7",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,11,"3",0.534449582893693,0.517629359441604,0.500378799721301,0.534148982227727,0.498933782812504,1.77982264015351,1.59817281140775,1.5574848536256,1.61770815526408,1.56723435905226,81.5711796161866
"8",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,12,"3",0.524893388921133,0.474095560119893,0.46897699796422,0.494782556379685,0.437714412922715,1.76700545609218,1.39526182302356,1.41780100508739,1.29389980148989,1.44249253649204,70.934282884517
"9",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,13,"3",0.499885383218698,0.456074652595469,0.429747399070049,0.448106143265681,0.440076994027644,1.6060314507582,1.41482095834003,1.26900337001772,1.16274352580499,1.50385316130787,61.8377203591763
"10",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,14,"3",0.433426182578295,0.385950479660535,0.410748900050648,0.425351867041591,0.407215266008618,1.3769576279863,1.17796171303541,1.1782556890053,1.043628751917,1.26192761795216,53.0571744070996
"11",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,15,"3",0.4338606045493,0.370496376536461,0.391810523714865,0.385939686948868,0.389717308132057,1.2929544042237,1.18126621088034,1.12480465162943,0.926305248655505,1.19781518289275,44.4592138451819
"12",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,16,"3",0.407396531475273,0.350544929785899,0.373173692888073,0.355064933354699,0.382085848380808,1.14407857122935,1.08389391686038,1.04893384617666,0.791865625738425,1.20068611441019,38.2735450361086
"13",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,17,"3",0.375713160752107,0.327216979057289,0.338422963589193,0.331227402567238,0.342413146664798,1.05228371729689,0.940239703981591,0.939776537773532,0.760928287810482,1.10556162004299,33.3784972977741
"14",92,100,300,0.5,2,"close",5,2,2,2,2,2,10,18,"3",0.349752802581558,0.287387838506669,0.298240572653248,0.327972770674174,0.309181202829382,0.931462256103456,0.821908510831873,0.788255918513364,0.77606013854446,1.00852469929312,28.4064797034468
