Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.9882008299935037,4.333475390524618,4.257315200039073,4.568161360180958,4.035992729298889,5,4.356879303264459,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.9882008299935037,4.333475390524618,4.257315200039073,4.568161360180958,4.035992729298889,6,4.356879303264459,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.9995203840788567,4.337279755805898,4.308221534072799,4.861558339355332,3.9948265445309423,7,3.962796417615811,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,4.064487393877498,4.394799649913095,4.314986062352656,4.811184493383547,4.030305073516824,8,3.3356670051675334,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,4.03827737925909,4.3832208891450435,4.345085257431192,4.862215485270022,4.039885078468451,9,3.2134287868795974,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,4.009274184313573,4.417678218534803,4.365707588009431,4.88117309410989,4.0288130672196445,10,3.189046778620628,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,4.017508437963656,4.402739928872588,4.396407368488107,4.832840212359951,4.0276281613974145,11,3.140696080225798,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,4.034521686073541,4.29465401959879,4.393641146694755,4.840633568589005,4.045672929611875,12,3.076360986929515,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.767006772999785,4.433932377639058,4.380594941161932,4.728844434113561,3.862939376594509,13,2.511981613025126,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7553894219493404,4.420394197416176,4.386895768285548,4.652981226910507,3.865829805764421,14,2.4943160892696663,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.712400674330201,4.414541114851474,4.410038057473601,4.775097934252023,3.6815658014152826,15,2.2148544145328852,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7847015226551557,4.481957884363018,4.422320819075215,4.703966697058517,3.782950885443214,16,1.264577646649532,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.785647882536209,4.4184701220889355,4.388700838934808,4.652080140792599,3.81135769506126,17,1.1786757580656222,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.817675982173061,4.501843778308694,4.386124670747133,4.632006816453691,3.826730853957909,18,1.138981211642539,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.828542779979461,4.510404021185289,4.369528679524168,4.610455231442071,3.8321847651371397,19,1.1155499076286193,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.8330072704327964,4.507568468686031,4.348337382736195,4.6129376245254745,3.8298443795798196,20,1.113451579224325,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.8192894766681698,4.436676234060002,4.29314658355542,4.544941760426248,3.8421205940205287,21,1.0446722121951708,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7842912528740396,4.372534190794528,4.256627311267873,4.533219457069028,3.8019716491764153,22,0.9348854995309298,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7725405179940488,4.383778013558216,4.269988702339535,4.5349261733639725,3.80592251981942,23,0.9297946058110219,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.762737160083535,4.384906703846514,4.27378051117991,4.5274338337416955,3.8126586237590034,24,0.9191242316130201,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.767090681306786,4.38857296182404,4.274668882809621,4.529247955189809,3.8144546161813366,25,0.9189452874197696,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.746043569379025,4.405515309298656,4.255791522165583,4.508398127065828,3.7869167504359194,26,0.8981960445762408,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7112438102474035,4.387543360035244,4.269437017373134,4.543902402823244,3.7746516876886385,27,0.848756124593166,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7062405970829175,4.39772385428144,4.280724025983153,4.5497297442199764,3.7750326571837527,28,0.8469487384004962,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7025356616795855,4.406519966803547,4.288753891218186,4.555450233184172,3.7668345286287845,29,0.8442877712786114,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.6990531273809735,4.410770868291462,4.300559783709426,4.5493747181809185,3.7718536152734696,30,0.8393813988971296,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.6982691028320382,4.429404298777543,4.342004958281786,4.5591700219719735,3.768726416768751,31,0.7933635444423225,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7016389159095504,4.421568344588673,4.3245562400393585,4.5415888501792905,3.7936256913118767,32,0.7866532652019969,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.701452663682215,4.4214448360717205,4.324290107823829,4.542266165397359,3.792995178821819,33,0.7866484691905606,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.702159776468119,4.413137263102113,4.311966587371317,4.535177158333152,3.8128210091161794,34,0.7821994045599813,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.683213709552304,4.421126998366427,4.311215707024256,4.547295830091947,3.8024561154980145,35,0.7788274054982147,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.6704383792209323,4.436373304274237,4.295736554144088,4.567748412452834,3.806277257110762,36,0.7629514824924243,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.6717442544094516,4.418199538783625,4.29922134429205,4.550600447812722,3.813364503819026,37,0.760321527021834,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.671473982004806,4.416931087250705,4.299500881492464,4.548171878571494,3.814785731890309,38,0.7601988491098249,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.70637407058246,4.402841197185534,4.306264785409268,4.547683840654077,3.8303032361937386,39,0.7507984896100413,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.69249336457613,4.444488764377933,4.314775924679201,4.535860715163558,3.8267362970603687,40,0.738907253000168,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.6941092956939148,4.426907511684898,4.310751772177844,4.531653427953801,3.81897180054644,41,0.7361844633667076,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.702744194899713,4.424015421353821,4.301109557067069,4.525315503669501,3.8023917357524213,42,0.7243048885282187,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7309801398727784,4.411264960558808,4.300639193966282,4.5257827977560625,3.800206540251553,43,0.718854905429923,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7751441081529227,4.399625191480348,4.29466218786435,4.524437555591021,3.803455469356502,44,0.7111694168793796,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7748656522903916,4.398967684497895,4.294730461644695,4.5249624505271395,3.806596934034057,45,0.7108022958148031,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.790102763427126,4.400640891122829,4.312985517065132,4.526212793620415,3.7771705071649686,46,0.690451732954391,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.7932621858600712,4.416608486685871,4.318956693098112,4.538824480309212,3.7656103005983717,47,0.6865984820588044,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.787281388593561,4.415432886934779,4.30503780844264,4.542927307938154,3.766458571941057,48,0.6839258958720847,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.8078389088596154,4.416598053344683,4.309228333729648,4.534662571235236,3.7663042418210706,49,0.6821866111475613,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.8342439991548964,4.381981754720655,4.330578871376953,4.495839708358503,3.8065180978818214,50,0.6721950789641618,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.8586167348551,4.348652444665851,4.3391164749055156,4.4393977604144625,3.8624374863913795,51,0.6578277465144774,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.896997175171355,4.370480128961909,4.324245565120681,4.421838938300953,3.9105138770619483,52,0.6521545702352365,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.815521911770999,4.3571502690178905,4.309085633008424,4.4124093654309045,3.8922364343662554,53,0.6217549342107581,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
123,100,200,0.3,2,wide,5,2,2,2,2,2,10,0.867,0.898,3.820015344282844,4.352629287559424,4.326593686453888,4.4011751201094915,3.87440259679134,54,0.6062991403611668,4.180950425011531,4.242302360437123,4.357812502333928,4.5507928286412795,4.144221213735,Method4
