Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,prop.s2,prop.s3,V1,V2,V3,V4,V5,No_Predictors,MSE,V1_TURE,V2_TURE,V3_TURE,V4_TURE,V5_TURE,VaddMethod
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,1.7845488987237612,4.671665872175138,7.683946629174194,5.072793897973879,4.5399449540808305,5,468.1021409913208,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,1.7845488987237612,4.671665872175138,7.683946629174194,5.072793897973879,4.5399449540808305,6,468.1021409913208,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,2.0249396362695657,5.018040157839413,7.632241644936275,4.503539803499278,4.959457581346113,7,335.712121228131,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,3.545773082476226,4.527631755951999,6.888874983084992,3.6374884527051883,5.1950726420516755,8,263.269016594011,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,3.764722650204927,4.995185429686388,5.42045068047858,3.5955785845617125,4.849066450214662,9,257.0407049880459,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,5.642173653832083,5.462079327616502,3.6158500274560557,5.9805929152396455,5.06466094151132,10,218.4163259963153,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,5.318663579047549,5.662916450765967,4.483599527783084,2.877703427857613,5.246566789455267,11,198.86135840529158,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,5.000383675111286,5.945637165716254,3.7844872569585664,1.661226575339291,5.492545266825404,12,176.8971030689777,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,5.05307488788163,5.91227591508383,3.992824936340302,1.0361117700327656,5.323994602699934,13,175.47461607039426,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
5,100,50,0.5,1,close,5,4,4,4,4,4,20,0.867,0.898,5.097797596624076,5.484924655829538,3.8049330956839365,2.2466249391213,5.549012126829902,14,133.62251910116896,2.1106225030931705,2.163129758953678,2.261987611325993,2.427147313284432,2.079188285400228,Method4
