Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,5,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,9,9,76,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,6,83,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,4,6,84,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,6,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,5,7,82,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,9,78,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,8,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,7,79,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,6,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,6,7,81,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,7,7,80,AIC
143,100,200,0.7,3,wide,5,2,2,2,2,2,10,5,8,8,78,AIC
