Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,13,15,67,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,15,15,65,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,17,17,60,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,9,15,71,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,16,17,62,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,15,15,64,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,13,13,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,13,13,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,18,14,62,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,18,14,62,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,15,11,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,12,12,71,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,14,11,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,16,17,61,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,15,14,66,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,18,18,58,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,14,14,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,15,13,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,12,11,72,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,16,12,67,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,13,16,65,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,14,15,65,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,17,12,65,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,12,15,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,16,12,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,12,14,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,14,14,67,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,11,12,71,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,13,13,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,15,14,65,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,4,12,10,73,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,13,14,67,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,14,14,66,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,12,15,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,14,14,66,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,17,17,60,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,13,12,69,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,3,16,12,68,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,16,15,63,AIC
15,100,200,0.3,2,close,5,4,4,4,4,4,20,5,12,14,68,AIC
