Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,4,6,8,81,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,3,5,8,83,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,4,10,80,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,9,75,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,4,6,84,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
107,100,200,0.7,3,close,5,2,2,2,2,2,10,5,10,10,74,AIC
