"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,5,"Method4",2.55266608700349,2.27773681272253,2.73461342534423,2.56053614836477,2.78618960339572,2.70076842982926,2.55245222336636,2.52159417445396,2.70854100171099,3.55477291057696,219.426194454537
"2",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,6,"Method4",2.55266608700349,2.27773681272253,2.73461342534423,2.56053614836477,2.78618960339572,2.70076842982926,2.55245222336636,2.52159417445396,2.70854100171099,3.55477291057696,219.426194454537
"3",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,7,"Method4",2.39904979452211,2.14658237732656,2.50411113994394,2.44528201317397,2.49138389440141,2.03161316431997,1.96389458034583,1.52951449035878,1.85400969350408,2.00906168971331,134.522735878417
"4",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,8,"Method4",2.23905154406455,1.96645329362124,2.47775406033269,2.18661780248554,2.2022226202298,1.80073878433578,1.45746048999464,1.55743781426635,1.63467996669224,1.88890420300926,95.2907380376482
"5",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,9,"Method4",2.19255328254865,1.97451839188616,2.34666051210812,2.06704737224198,2.12227035254637,2.1125614907326,1.43448427837414,1.4882415246943,1.98874927663825,1.74253541215418,67.449019551203
"6",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,10,"Method4",2.02381973389871,1.90096870892498,2.11103386600754,1.95746501912197,1.91332175211963,2.02922841648645,1.37213774262113,2.20124725611272,1.48140687371531,1.31975873000411,50.123441623426
"7",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,11,"Method4",1.89321390140831,1.76004974340394,1.88100223527981,1.84106274724851,1.71866453238228,2.25467697436546,1.43877302769819,1.65066454176655,1.8642466411156,1.31047572867177,40.8465006390068
"8",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,12,"Method4",1.63166761765281,1.59304498467206,1.82988020943155,1.70958959934489,1.61295053408208,2.039492818989,1.52491790531782,1.49991951220844,1.60459663226062,1.33034518080723,31.9884021512174
"9",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,13,"Method4",1.50631046663107,1.49823299153915,1.54281094266292,1.60875293128753,1.44119056183883,1.94146665701752,1.35099740767166,1.21536661134972,1.43693674587911,1.26229514506893,26.187252553086
"10",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,14,"Method4",1.36839331796676,1.38291959917199,1.31696897204195,1.50700235386099,1.38026783414626,1.72284978967654,1.34580149979307,1.2143404675812,1.33385857638441,1.33027245824051,21.8302561826146
"11",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,15,"Method4",1.23005833746989,1.26052169476994,1.18125406082435,1.31872172556408,1.26606481272056,1.61620457298165,1.32375480844858,1.12327688212736,1.32825869610162,1.23782905084555,18.6443195654088
"12",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,16,"Method4",1.10586588743156,1.13267731418593,1.0616113076123,1.19017343264622,1.18070028794114,1.2325127587834,1.31395509850939,1.04456201545042,1.19494379684298,1.15403378055445,15.7889828643635
"13",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,17,"Method4",0.904369592974105,1.0287679778586,0.96381724736286,1.04080897099752,1.06545740153042,1.00045638086176,1.23632741850638,0.919229846453866,1.08166608751834,1.0796061131109,13.4154483630907
"14",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,18,"Method4",0.864171349246058,0.907421079056266,0.786640238389903,0.925911469971983,0.957873278493483,0.905683267726583,1.06519990059456,0.62686078199465,0.94607356132105,0.903535743081563,11.1577578933441
"15",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,19,"Method4",0.74470724482947,0.799053201112268,0.732244972931717,0.766323459663625,0.86421637571216,0.752546768647327,0.874182835201107,0.592849096712613,0.742476359774675,0.818894882075702,9.34253319999886
"16",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,20,"Method4",0.721961593758118,0.60687355612675,0.639507782115717,0.677777446989738,0.686441109803117,0.683295211848956,0.49315996673633,0.44240361058253,0.68844050258383,0.647819274110925,7.63645523990947
"17",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,21,"Method4",0.603205357888474,0.503112885635216,0.591723057730546,0.619180231303219,0.580775704595645,0.503864428117087,0.416621002500078,0.391238041633023,0.588918448440742,0.553959167916609,6.12193481312048
"18",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,22,"Method4",0.522437307099316,0.465550148783254,0.511846496733394,0.542952777032063,0.511757319240755,0.447873709806065,0.278714570407231,0.337848275180742,0.385326172877062,0.429902843314741,4.65414091216971
"19",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,23,"Method4",0.509362399350049,0.447696217575887,0.494776469342699,0.519977409965471,0.500053583093991,0.417553725724608,0.265688665413984,0.331454964453717,0.373303686352782,0.417091089554313,4.574113859953
"20",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,24,"Method4",0.5009239304302,0.440979482868649,0.462207847143188,0.528407143177999,0.490290336606982,0.411536273593345,0.260365728178134,0.288083527624826,0.403581602538084,0.414074209710195,4.48116283915575
"21",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,25,"Method4",0.510369928508033,0.451706480206444,0.461769278624793,0.498825535053505,0.451525500524565,0.423828712411575,0.284521319749869,0.292614999574975,0.361365187249977,0.40000791577923,4.37202881245914
"22",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,26,"Method4",0.485894936984733,0.445030624380099,0.454856202423714,0.507909007777983,0.4354590161673,0.406017024430751,0.277938524734341,0.283156519099848,0.374109161526383,0.364283580488884,4.27728809826197
"23",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,27,"Method4",0.477383169420951,0.443679363139016,0.44849647851588,0.501371999258707,0.417314444025658,0.396278200607156,0.281315699756533,0.286273519575901,0.369325463501862,0.328607570066499,4.19412753136478
"24",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,28,"Method4",0.455421790444001,0.448624108021255,0.42526743237212,0.492994023267842,0.416158550241501,0.38825692234297,0.282604940974742,0.262048894892825,0.367713763057237,0.328977975262027,4.11808543801499
"25",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,29,"Method4",0.449181821968059,0.443585963798809,0.402416527746558,0.481989752393441,0.423637707856026,0.38865094740576,0.28188884802785,0.255074263743788,0.35605718632527,0.326459596436292,4.00460402864028
"26",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,30,"Method4",0.443492023786045,0.427640347984627,0.406063507179645,0.484511822584508,0.410514244443819,0.334759128505934,0.265421772608353,0.2594194763366,0.353197295856367,0.323643789317791,3.93287592293203
"27",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,31,"Method4",0.441446170880895,0.432266587278816,0.407158779772324,0.471807148815006,0.414874038188007,0.338736789483802,0.265311400799097,0.254636857636101,0.346225879645183,0.326105417820215,3.87628032872441
"28",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,32,"Method4",0.450182515417841,0.422552695781425,0.400218839284369,0.462503569298619,0.399644616938956,0.354709295502312,0.261192160481517,0.241789820179592,0.337134390974678,0.283060983193897,3.81114096575602
"29",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,33,"Method4",0.450961468549213,0.424902281358499,0.409491788745863,0.468840141791061,0.406583781314684,0.347722317454784,0.264026036549527,0.25200294768932,0.349150594658423,0.290802691713263,3.76387787623437
"30",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,34,"Method4",0.463350652357564,0.431897437657823,0.438398149698272,0.458082469804374,0.401249489740978,0.374654808144246,0.269263693969972,0.284273424838214,0.331131210665437,0.282688657727319,3.69732343340741
"31",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,35,"Method4",0.460717745170842,0.439118955048359,0.426025899412987,0.466211836394836,0.41482011242339,0.362929756643945,0.271391352338905,0.270291964279616,0.340167177339571,0.301003039606354,3.62652665091215
"32",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,36,"Method4",0.457472977775885,0.438354005559271,0.425270736969078,0.450343174597263,0.406044719589071,0.351161848520649,0.271524291558048,0.280538488196979,0.325771987634807,0.294464079427357,3.5617641968563
"33",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,37,"Method4",0.465974400251746,0.447110053965801,0.417410940549341,0.451941112710035,0.395211246088744,0.362715822283745,0.289779532321283,0.283247410651546,0.331415757182994,0.280598780788934,3.48276273250366
"34",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,38,"Method4",0.468676109983598,0.452072597830385,0.402907380755687,0.450670531523351,0.388814410119738,0.359781763973835,0.29790163595953,0.274519837401784,0.32698771248835,0.259986467074218,3.41635573605348
"35",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,39,"Method4",0.482260106973916,0.457254780860437,0.401287254779472,0.440490129388232,0.405311385484788,0.378827855618177,0.31174116600702,0.271004011765562,0.320967704829965,0.273273671357423,3.34253849065666
"36",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,40,"Method4",0.470936298774342,0.45954894063045,0.407449261392852,0.442979966483008,0.403046753206509,0.373765999133716,0.325765294680304,0.28198244098609,0.327857151969943,0.279499439746187,3.27026404846122
"37",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,41,"Method4",0.476312083242687,0.45656803421853,0.409176931683943,0.45315384487225,0.404713657868582,0.386475041742301,0.331088661131498,0.290295463264498,0.338924930331821,0.291245103492678,3.19912565846816
"38",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,42,"Method4",0.474282230134742,0.451412013019824,0.421996400964636,0.458069489138995,0.402251065684436,0.385995471441275,0.327287612715727,0.303528180592596,0.345159172409689,0.289572404666299,3.14052661094536
"39",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,43,"Method4",0.468405964691647,0.471571929486596,0.427841222480881,0.457884512207845,0.402938027091033,0.376041577901032,0.332847889650435,0.310761659595089,0.344967226724101,0.304061442857782,3.0764998719742
"40",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,44,"Method4",0.483138505934858,0.475034270300816,0.431467626658708,0.463054191033661,0.415569298722946,0.383414327342134,0.333577488448858,0.320454064430138,0.352416127161976,0.31204927055181,3.0086906202982
"41",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,45,"Method4",0.487109342538278,0.477905198581646,0.431599290575286,0.452661027987448,0.419798767137779,0.385706261165495,0.332504392605621,0.330568486487256,0.363570918631833,0.313798412187109,2.95132178393903
"42",105,100,50,0.7,3,"close",5,2,2,2,2,2,10,46,"Method4",0.504535491497145,0.482256420459414,0.431263966965447,0.446686355320471,0.429153514675555,0.404089029512199,0.350857517692489,0.323996122789333,0.360072018168509,0.311148960581511,2.88449991795407
