"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias_mean","v2_bias_mean","v3_bias_mean","v4_bias_mean","v5_bias_mean","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,5,"Method4",2.31441393521452,2.42417804553642,2.33348088654582,2.12448631354045,2.29815690604472,4.71521191685741,3.59083678663232,5.61870402808581,3.26221018408063,4.25894087155615,354.88332188266
"2",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,6,"Method4",2.31441393521452,2.42417804553642,2.33348088654582,2.12448631354045,2.29815690604472,4.71521191685741,3.59083678663232,5.61870402808581,3.26221018408063,4.25894087155615,354.88332188266
"3",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,7,"Method4",2.28311646530208,2.36520397662095,2.30690077760572,2.01138283646327,2.24165087892059,4.67772742512011,3.7239928849602,5.64317403399749,3.50002625566509,4.28083899084297,333.160011287835
"4",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,8,"Method4",2.25739066365715,2.1995652437046,2.22051950326393,2.04334881111261,2.09370766281578,5.02613285555227,3.45091355218273,5.39802482563675,3.62385883566949,4.1387890890753,308.663221451465
"5",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,9,"Method4",2.16539439437345,2.11456070365812,2.19238735544464,2.00934342403661,2.0065346292532,4.75693377819837,3.32218517788483,5.24516752015867,3.50623643273105,4.0197079840875,285.136011313346
"6",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,10,"Method4",2.05620836485324,2.11691012334268,2.00464281482499,1.8979024075315,2.00676838838271,4.71378306257071,3.63555508843932,4.83657950125728,3.40105709728195,4.26962388699335,262.860123556423
"7",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,11,"Method4",2.00340452631867,2.1015784332977,1.9515798490797,1.87287317465308,1.86639575604896,4.43546809566796,3.69296642461469,4.88792090042734,3.55990758163547,3.73999721631142,241.75554517896
"8",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,12,"Method4",1.93549037395326,2.03758443510713,1.8779009330669,1.76483690689516,1.83091372320596,4.12487274358979,3.42628575017828,4.56033433014106,3.32235453783064,3.51866845992653,222.91342219965
"9",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,13,"Method4",1.87152708669788,1.75963576922459,1.88556965761375,1.70103911796028,1.79208721155607,3.95768833018529,3.00704510466434,4.58233349306879,3.28347296743096,3.69215230733717,206.446261110976
"10",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,14,"Method4",1.83859923068616,1.69304271640384,1.82960119607083,1.6593146512317,1.78105196125822,4.07059971073516,2.9016411006587,4.34555079391091,3.24110850620093,3.64597390220614,189.618291299208
"11",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,15,"Method4",1.82830514936219,1.69487131624415,1.73150476360567,1.66981308525491,1.71259884777215,3.88707356197542,2.84647905418561,3.80273272505423,3.4802740520017,3.39810022265005,174.314488440451
"12",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,16,"Method4",1.80040036872855,1.73117825211621,1.72710964563065,1.63558910369263,1.7123854950502,3.74526669268136,2.96785042358809,3.57244154861281,3.1787254975348,3.59186969939682,162.396439271619
"13",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,17,"Method4",1.67848987864717,1.63801285420833,1.66856939795646,1.41619670186165,1.69535901063599,3.33581646360736,2.76794574311501,3.28666846681918,2.42221065689803,3.53780437082653,149.561553987232
"14",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,18,"Method4",1.6468274458168,1.53937017441777,1.52380981723279,1.30295039185513,1.57555950184604,3.2184598142124,2.81490610983846,2.92894221250312,2.11366880592635,3.18782866043761,137.866741107553
"15",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,19,"Method4",1.60461275481655,1.56508394156071,1.57521414545667,1.26695018647469,1.57464277875571,3.11806660184809,2.91913566151278,3.0121952290628,2.16232581784143,3.17048247012564,126.052111638919
"16",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,20,"Method4",1.53777691277312,1.51055096525787,1.53169977231736,1.25191050827307,1.49423097521714,2.88064738097305,2.94951278843807,2.89809962937682,2.22119180252611,3.00888567033285,116.643085209352
"17",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,21,"Method4",1.45360903678886,1.40318109353771,1.49146795865877,1.24222035822184,1.42755857794768,2.61111701883741,2.61830428894047,2.81505046497233,2.08551276392851,2.84289226819769,108.581235399459
"18",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,22,"Method4",1.38443058978066,1.35491227573734,1.44861794713059,1.21779493539149,1.35698468139515,2.3627125393146,2.36497564675235,2.68059049867401,2.09487404394206,2.65780566381985,100.043811914674
"19",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,23,"Method4",1.35849342443535,1.2746777924007,1.39373737094856,1.20296338865076,1.33823447417221,2.2971767213176,2.20479094693847,2.51124504410906,2.1945062123395,2.7427501415625,91.0364506274888
"20",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,24,"Method4",1.27984705701723,1.25639784686128,1.39414058086803,1.18655369733617,1.27785255483202,2.19960125090036,2.1619421579462,2.61241574130354,2.08944916957628,2.52148142169571,82.586714577203
"21",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,25,"Method4",1.23173394238214,1.13396221128542,1.33472743699043,1.18072655688806,1.21721642472801,2.12492267838858,1.97610520570874,2.36122699663724,2.06076880779467,2.30650730563656,76.0831353867242
"22",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,26,"Method4",1.20192834383835,1.12963530891803,1.28464993317177,1.14022175687365,1.18377935202007,1.89901798739006,1.89599565492472,2.1762212885866,1.9669794208842,2.19544284713895,69.2121882410056
"23",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,27,"Method4",1.14584147370119,1.0574896935997,1.31287711820721,1.08183869339613,1.12968624069502,1.70992257963474,1.71987797091861,2.26282813667299,1.9668206585838,1.92745116745737,62.9840218944199
"24",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,28,"Method4",1.08972802208307,1.06448035110241,1.24174011891323,1.12285657371584,1.09456015738447,1.51470973616601,1.74047490877251,2.17031252194901,2.06397928808821,1.80375066356591,57.6205998360974
"25",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,29,"Method4",1.06188962423093,1.00871534851436,1.2614287013024,1.08149932732505,1.08016470296135,1.43537060478529,1.62511910387937,2.24016626946969,1.87934749053369,1.77344303131419,52.3887061568858
"26",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,30,"Method4",1.07464760499631,0.929164051467783,1.16518267320606,1.00252349201327,1.00865529069091,1.41192046185276,1.3639972617383,1.82135254604303,1.56669185772669,1.63117901619348,46.7155685096509
"27",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,31,"Method4",0.968274039863373,0.89225354783292,1.10981829034154,0.984414113370073,0.881197034896285,1.15289143208637,1.25415594445647,1.7308043805219,1.57117710569866,1.21956480451865,41.7393907851261
"28",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,32,"Method4",0.976106895740309,0.870137759604946,0.994945000575862,0.922142071933771,0.816004922057604,1.25082373928946,1.16143301242185,1.4275010428421,1.40241456671816,1.08319520870134,37.8836684785005
"29",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,33,"Method4",0.918362276944487,0.824442300415498,0.941961670597801,0.892666965873223,0.732549680003591,1.13486101668229,1.08046684162554,1.32232044139769,1.32467210636056,0.921781748593994,33.8924937671325
"30",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,34,"Method4",0.901389121969629,0.783432511154556,0.910187496542381,0.838676076303603,0.7339000006531,1.06753102881887,0.910121294394154,1.08023360375451,1.10259563137182,0.924095479484187,29.557850735367
"31",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,35,"Method4",0.837202587914536,0.749159895191329,0.909186206571296,0.837939102807797,0.715954730115556,0.933781197012801,0.860485503433402,1.08057323108014,1.06993164848499,0.84711679985699,25.8218788677805
"32",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,36,"Method4",0.790456192970936,0.745443072018092,0.909622005996136,0.78782457215331,0.663173359130263,0.878166166251263,0.855420295314082,1.04159433396361,0.971723806396355,0.724630844307051,21.9355971483451
"33",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,37,"Method4",0.72991936189894,0.728012169255145,0.84042637126211,0.705352273040101,0.648560564280081,0.763839499723013,0.784246899144173,0.913940277688974,0.771045050321408,0.682809938818117,18.6114415450157
"34",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,38,"Method4",0.726572890711307,0.702946026220034,0.79460487993272,0.650248399315567,0.57935681206133,0.791766585075085,0.796066886638088,0.839072105805348,0.632977314899467,0.572412763617259,15.873972508948
"35",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,39,"Method4",0.650136636062846,0.692278928769371,0.676791668255064,0.564551836562361,0.587288697127656,0.635331879066632,0.744293885209867,0.640028866448091,0.51602715458782,0.574469668804102,12.9205279722057
"36",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,40,"Method4",0.547059885615359,0.61609581930537,0.649687877630469,0.549198769357489,0.557104603364032,0.476053777483754,0.596232011864993,0.596297323321781,0.459030180879063,0.555708838319398,10.8187599466501
"37",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,41,"Method4",0.562734492442576,0.621145999165063,0.659104001933625,0.564003526989265,0.564391368921568,0.502491155149042,0.613467160189009,0.617579399677373,0.475090243168671,0.571958555947987,10.6412685588063
"38",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,42,"Method4",0.559907437354506,0.624086675474197,0.65890340080081,0.563804863776034,0.578168463304588,0.503432954252676,0.616530914505333,0.626887960213517,0.465629486605472,0.585997897545373,10.4918611149807
"39",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,43,"Method4",0.572939629154254,0.619902676552373,0.658802208570347,0.569950836494846,0.590256904469861,0.520685824733587,0.6062056847474,0.622538520813597,0.480915521141716,0.610153632565254,10.3343031137652
"40",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,44,"Method4",0.580229471954676,0.619069207092224,0.654087517688546,0.57276988926597,0.596407517095791,0.527601334072106,0.608723998868278,0.620416554568294,0.486206032177267,0.608588132640039,10.1949858206482
"41",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,45,"Method4",0.594083033469159,0.618924611258759,0.654086605151343,0.582164999574915,0.594195273453163,0.551174345654261,0.600825023894752,0.625958864736906,0.489083371621431,0.61710825758731,10.0435667136051
"42",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,46,"Method4",0.588412001352518,0.626750133249647,0.669737112081795,0.589153696179301,0.601487492441289,0.544457883983065,0.616139675619999,0.638153535375454,0.50492465180596,0.629900629958406,9.87015824832701
"43",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,47,"Method4",0.582811586865036,0.645584954514348,0.688323925855831,0.594797616940806,0.614574906607361,0.55150627840321,0.634107605124728,0.674065943001049,0.517697192035038,0.645675511041472,9.72167532487904
"44",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,48,"Method4",0.592271789055671,0.66139148206203,0.694776021582796,0.608657155247531,0.623595508565485,0.57806913346429,0.682246491417684,0.691045453926072,0.538467163134892,0.661730700577471,9.52400954300805
"45",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,49,"Method4",0.58942330599933,0.656180941163058,0.69770911000554,0.628485156678866,0.65030485905347,0.556498472766588,0.686906498978463,0.702315909061178,0.571017938304371,0.697437680318153,9.32500531733463
"46",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,50,"Method4",0.579864300354677,0.668844912172011,0.707913337632901,0.632453708476134,0.647286949429248,0.549485445917441,0.701067743273644,0.72383361199896,0.590802065123639,0.70556119549937,9.10470448207013
"47",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,51,"Method4",0.601404608758017,0.671411328360797,0.707162877648001,0.634543998766839,0.633502492075949,0.594003074625319,0.726106575464267,0.72884636460638,0.603122152428504,0.697673669107387,8.8872221666166
"48",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,52,"Method4",0.608228348905236,0.679803160212414,0.701978546516924,0.64603667099961,0.629403500652944,0.618818659558255,0.736712375094498,0.735901992633431,0.632687514195786,0.688616473113843,8.70432091250903
"49",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,53,"Method4",0.598758792148074,0.683839425555632,0.708752828879023,0.650610426872285,0.644129348707047,0.59079948777574,0.741518133649546,0.733688728898099,0.636593807289209,0.708315197159322,8.51322369436958
"50",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,54,"Method4",0.608176029206419,0.683708911949248,0.705925643623059,0.650853214377115,0.648089040054501,0.59937945761917,0.747649334412328,0.724118649133408,0.62267123665582,0.707315386844657,8.30122605938365
"51",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,55,"Method4",0.612145069059405,0.673925003580656,0.701888075881631,0.636966738847264,0.663991424541623,0.608502432799098,0.74019938393135,0.730203702530466,0.586458337612562,0.739335211901061,8.13907869962694
"52",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,56,"Method4",0.609594701041094,0.674348350948092,0.708875738335608,0.638866904813149,0.652009111280939,0.630822578109599,0.757788166413023,0.761216541345709,0.587146540943666,0.709660416963611,7.96078548172521
"53",19,100,200,0.5,2,"close",5,4,4,4,4,4,20,57,"Method4",0.631092751603911,0.671718887340499,0.726271157111464,0.652143361242695,0.644873010400035,0.68027047812647,0.74243795800623,0.806744411954067,0.594458333289611,0.695332506293794,7.75911506382012
