Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
5,100,300,0.3,1,close,5,5,5,5,5,5,20,5,12,11,71,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,4,16,12,67,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,5,12,11,71,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,4,15,12,68,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,5,13,13,68,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,4,13,13,69,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,2,17,11,69,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,4,13,11,71,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,4,17,14,64,AIC
5,100,300,0.3,1,close,5,5,5,5,5,5,20,5,18,12,64,AIC
