Number,N,P,corr,method,beta,S1,S21,S22,S23,S24,S25,S3,S1_Selected,S2_Selected,S3_Selected,No_Selected,VselecMethod
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,22,20,42,AIC
3,100,100,0.3,1,close,5,5,5,5,5,5,20,5,25,20,49,AIC
