"","Number","N","P","corr","method","beta","S1","S21","S22","S23","S24","S25","S3","No_Predictors","VaddMethod","v1_bias","v2_bias","v3_bias","v4_bias","v5_bias","v1_variance","v2_variance","v3_variance","v4_variance","v5_variance","mse"
"1",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,5,"1",1.26847899373221,1.06546427180709,1.30290300063201,1.0717771131905,1.30931995427628,6.26704621139513,4.22689496410974,7.1853799217365,5.08033556233444,6.93373013211982,456.513749920712
"2",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,6,"1",1.26847899373221,1.06546427180709,1.30290300063201,1.0717771131905,1.30931995427628,6.26704621139513,4.22689496410974,7.1853799217365,5.08033556233444,6.93373013211982,456.513749920712
"3",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,7,"1",1.22530745108475,1.00222097957088,1.24263014121487,1.07072609304881,1.25648786250227,6.73724765855833,4.60481537018686,7.28111618302848,5.70001005602183,7.08752613127141,444.381464080155
"4",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,8,"1",1.21754501071465,1.04743408342239,1.21205947702815,1.00106529230294,1.22000421331087,6.95392485779136,5.68488326270298,6.95223370239117,5.59022962461144,6.93268472926047,432.65498056014
"5",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,9,"1",1.19048710356674,0.995227910143953,1.17804222224389,0.984232650435542,1.21477512857146,7.29364090743512,5.71889444205783,7.18706396793335,5.86171178842164,7.10232754238115,423.200329647843
"6",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,10,"1",1.15683284184255,0.976205058161694,1.16515684043066,0.935062063270313,1.1872825082491,7.26296513142202,5.68499218849112,6.98298771649771,5.69657126374939,7.63242661880875,412.79385123596
"7",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,11,"1",1.16986540981364,0.946787709569233,1.16355816176503,0.93223490756754,1.16747606429418,7.98989581752395,5.9101856167136,7.21476733282675,5.91533086276586,7.55801352899731,401.919778603875
"8",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,12,"1",1.17621621740949,0.965255321334249,1.14855399277245,0.91851842892336,1.16549386824587,8.40838099757807,6.21615533487027,7.27389172913631,5.96926333435804,7.83245282353818,390.885741375934
"9",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,13,"1",1.17443484266595,0.916756360055875,1.13445207022836,0.900303041323506,1.09744389350758,8.32068713420277,6.19927159460579,6.93223751231854,5.864506396875,7.18872926557043,382.016536036598
"10",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,14,"1",1.18814944530742,0.892371154927908,1.15723864914036,0.914733334508702,1.08049820935589,8.92707800547374,5.67973874915219,7.58734633527611,6.17274011138055,7.09019756488659,373.862522270089
"11",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,15,"1",1.15891724680809,0.89209759043454,1.16134811978714,0.891133226292521,1.06774578169285,8.436669818051,5.76949251327501,7.84571008141279,5.90129754787967,7.24177462332007,365.649554189693
"12",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,16,"1",1.13809495029528,0.885467640663543,1.11616592563194,0.889020127749356,1.0628092722909,8.42408752416348,5.8716848319858,7.88094291975644,6.09109998511548,7.68059534628882,357.211185915318
"13",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,17,"1",1.12337493161981,0.904941791680139,1.08438553410021,0.904838408772552,1.03051175114295,8.36686215350278,6.30443372372661,7.71228448581709,6.13352976020665,7.81409242833325,348.692948125108
"14",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,18,"1",1.09074994391072,0.888457896608005,1.05481433139,0.909921945014473,1.01844044678555,8.35701614293071,6.21063031404216,7.52519578923143,6.34146432392854,7.80191040457715,340.335390022859
"15",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,19,"1",1.0753289868366,0.913167325926273,1.0364376356,0.897108317073861,1.01917699275925,8.38266780225127,6.4193289601649,7.62839810016195,6.16291171991865,8.0946713342835,333.21626907695
"16",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,20,"1",1.0669165797725,0.924785447682577,1.04511295105315,0.877115587272758,0.992561686388852,8.33292889502804,6.65080353479689,7.67702253661013,6.01850876301912,7.70087791244215,328.58903364528
"17",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,21,"1",1.03760541088055,0.964534243827795,1.008909581764,0.875331276228051,0.962232608330892,8.03693139003273,7.11932822884875,7.44353037415851,6.31041215066221,7.47690796726466,321.923757016666
"18",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,22,"1",1.03448268154942,0.930878535421754,1.01812485826156,0.876445522321343,0.962635025454264,8.12283756917136,6.8608317802919,7.5908705963803,6.1937321718614,7.45777052250051,315.563946679589
"19",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,23,"1",1.00446781737129,0.946446243736549,1.01723884186122,0.890785808865244,0.978727224877164,7.76547969457149,6.91473873493574,7.7881117718856,6.25089548153618,7.68381083441455,310.444989838449
"20",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,24,"1",0.998158079808474,0.946382665390001,1.04264235274811,0.9169886490176,0.9668803699495,7.77486050599402,7.07105014574652,7.93590361386821,6.42028665863898,7.78251345428382,304.844347287965
"21",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,25,"1",1.02992764153688,0.938081048857966,1.06217841675604,0.902623350079484,0.956579437819865,8.19991089896231,6.72700126062645,8.22303261257439,6.4004125321024,7.74977815349294,298.983596516446
"22",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,26,"1",1.0233668104884,0.896145533491377,1.06970153266049,0.921879746299382,0.995786640549285,7.965801256311,6.18368196980733,8.32669489268705,6.43243914398483,7.94985623132196,292.380174902059
"23",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,27,"1",0.819697528813167,0.790884454797507,0.836252443734016,0.719156215852089,0.839818049876378,5.31625336461336,5.01163533467858,5.1136307090832,4.28405080802569,5.25092311172207,197.016542911496
"24",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,28,"1",0.720090599870365,0.676131318168115,0.62798610841339,0.649196147645652,0.742869953818342,3.9805577871513,3.55033006431514,2.82964842482461,3.73321271871092,4.15153468060697,139.794956059047
"25",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,29,"1",0.670349307017457,0.631524271648865,0.568097640633665,0.659856247988821,0.623371452374538,3.40597989996817,2.96439536031039,2.28633624558358,3.34970725716305,3.12577552890667,107.399414125597
"26",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,30,"1",0.571148184396937,0.522866086291384,0.497929176571052,0.590755211443544,0.583969368778859,2.56640138691694,2.14613047092757,1.7875957915661,2.69972889206367,2.60112696655772,84.1622580612859
"27",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,31,"1",0.485143055970798,0.475086994166229,0.447470481850755,0.563275570375239,0.535390091027141,1.97611087390626,1.72953849720698,1.46700837381961,2.36009099285579,2.10152365667759,68.1114932349195
"28",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,32,"1",0.445289280850493,0.436588252594219,0.464506076855161,0.521329593619827,0.483912126866607,1.57062531863114,1.43270725711705,1.5139038550807,2.10645092786967,1.7744593316688,54.6103850384662
"29",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,33,"1",0.4177382404769,0.388968760241063,0.390586354818991,0.487374178204917,0.435984567815559,1.36728405276433,1.19932259532811,1.25500797132048,1.76195311066528,1.49763644013409,44.9875397145608
"30",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,34,"1",0.397218455532116,0.337265758296925,0.354999073753631,0.445178353737852,0.385500869061128,1.24361078420023,0.869777345468793,0.956617302965754,1.55301987451999,1.2303233242567,37.1153388013015
"31",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,35,"1",0.34610661586073,0.300428787739692,0.320315756547076,0.426242371328654,0.338443409393712,0.931904094728361,0.69663598905229,0.79550743131883,1.45602672462933,0.943113573961805,30.212845862324
"32",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,36,"1",0.304229192557651,0.282174503609384,0.283174612197172,0.398450387087783,0.315010543260025,0.784907640083673,0.652763032934815,0.643408972266113,1.26110166610268,0.83699016237138,25.0971156210886
"33",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,37,"1",0.282167624095389,0.2694457476119,0.282433414700352,0.357499288546059,0.310360445844429,0.659284990732553,0.56236870923021,0.575217635245566,1.04933289695835,0.801998826400915,20.4439744244252
"34",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,38,"1",0.256161563122874,0.258090995389869,0.249194287041029,0.331835001879454,0.274208157998007,0.557648653586534,0.521454993044154,0.4765952872069,0.889355849838535,0.655285381437044,16.9519500677417
"35",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,39,"1",0.251094529987497,0.245212223764411,0.248683383571417,0.296034983331977,0.269483599724523,0.5451079984245,0.512508031712106,0.484826308229587,0.682494753240545,0.61221368337812,13.6126522012036
"36",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,40,"1",0.230222094571267,0.219337263411957,0.220009971745215,0.246879643205215,0.23984242481493,0.438186493452365,0.422495795517111,0.388456195796684,0.48597638814836,0.487887731975731,10.9916890200473
"37",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,41,"1",0.225032470016214,0.207241592560479,0.195154347831944,0.208541982173173,0.207239469796814,0.40738875071364,0.380368234913565,0.326080172665495,0.36985728926461,0.391024357807256,8.57338548458653
"38",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,42,"1",0.195359742619633,0.173837347016669,0.177096442441762,0.174863119997052,0.195113686310033,0.319081669948068,0.282224962565777,0.271944697363163,0.266672949409719,0.34152707909855,6.61516143553207
"39",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,43,"1",0.154421856846937,0.15353235291008,0.137124447714357,0.152628475437726,0.175069327240703,0.212681034985973,0.242535125694893,0.163091483275943,0.193651052668431,0.291334233149823,4.69586933768951
"40",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,44,"1",0.131207360539353,0.139355588639914,0.115901756941864,0.134501244977691,0.143017070436574,0.14224471792272,0.203753375940873,0.123440880571168,0.162805790472098,0.214174332453538,3.11348005780888
"41",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,45,"1",0.103938175026437,0.111632402668228,0.0919205165248392,0.0895988944759472,0.105415653560747,0.0929609525862382,0.140931160196884,0.0788473568868139,0.0943957569090427,0.120236692841338,1.75435835891588
"42",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,46,"1",0.0572143058051165,0.0677418331746708,0.0584600967055513,0.0529734330321154,0.0580944673290919,0.0441776891635697,0.0677427277353436,0.0514009397990328,0.0440238507879861,0.045949736721023,0.548803303263278
"43",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,47,"1",0.0578450487645176,0.0686136544168083,0.0577594116638236,0.0526466234252138,0.0583714840513565,0.0461950764207104,0.0694387684036173,0.0503078378719549,0.0461741987997049,0.0459420245525391,0.539481026114029
"44",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,48,"1",0.0590047991384518,0.066920727487909,0.0586473728029032,0.0521883245583124,0.0602752774133723,0.0464217612108595,0.0689146873814226,0.051575781488473,0.0455641772242279,0.047947462233006,0.528017691264981
"45",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,49,"1",0.0592632515825417,0.0675922964989395,0.0590384384658173,0.053823998523739,0.0625999569421644,0.0468277544328257,0.0696585943317167,0.0528252426735374,0.0460345604239537,0.0493739838200779,0.520132355772152
"46",25,100,50,0.3,3,"close",5,4,4,4,4,4,20,50,"1",0.0588007197211388,0.0694113216453532,0.0593705253762973,0.0550994321944515,0.0632557341256279,0.0455150798204195,0.0721419641886723,0.0522114213223563,0.0461294016238268,0.0494784050135895,0.510140970649391
